state_fips_code,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,intensive_care_patients,ventilator_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,intensive_care_patients_ground_truth,ventilator_patients_ground_truth,recovered_documented_ground_truth
32,Nevada,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
31,Nebraska,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
33,New Hampshire,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
35,New Mexico,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
08,Colorado,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
18,Indiana,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
26,Michigan,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
29,Missouri,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
49,Utah,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
39,Ohio,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
40,Oklahoma,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
28,Mississippi,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
19,Iowa,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
12,Florida,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
37,North Carolina,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
45,South Carolina,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
44,Rhode Island,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
16,Idaho,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
55,Wisconsin,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
23,Maine,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
27,Minnesota,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
05,Arkansas,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
48,Texas,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
11,District of Columbia,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
20,Kansas,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
38,North Dakota,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
09,Connecticut,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
02,Alaska,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
15,Hawaii,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
30,Montana,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
34,New Jersey,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
56,Wyoming,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
